scenario,scenario_label,initial_belief,c_theta1,c_theta2,strategy,strategy_label,seed,run_id,terminal_public_belief
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,1,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,2,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,3,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,4,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,5,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,6,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,7,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,8,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,9,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,10,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,11,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,12,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,13,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,14,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,15,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,16,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,17,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,18,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,19,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,20,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,21,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,22,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,23,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,24,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,25,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,26,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,27,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,28,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,29,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,30,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,31,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,32,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,33,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,34,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,35,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,36,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,37,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,38,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,39,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,40,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,41,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,42,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,43,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,44,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,45,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,46,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,47,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,48,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,49,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,50,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,51,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,52,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,53,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,54,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,55,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,56,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,57,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,58,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,59,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,60,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,61,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,62,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,63,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,64,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,65,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,66,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,67,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,68,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,69,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,70,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,71,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,72,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,73,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,74,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,75,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,76,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,77,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,78,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,79,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,80,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,81,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,82,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,83,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,84,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,85,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,86,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,87,1.0
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,88,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,89,0.5454545454545454
scenario_a,场景 A,0.65,2.5,1.5,recursive_pbne,递归 PBNE 策略（以真乱假）,20260425,90,0.5454545454545454
